,,,Прайс на размещение рекламного ролика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Хронометраж (сек),Блок,Кол-во показов в сутки/1 экран (сек),Период/дней,Кол-во показов в ЖК/период,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
KZN70,Республика Татарстан,Казань,Советский ,Приволжский 1( Горки),А,06.2026,Комфорт,ЖК на Завойского 1,"улица Академика Завойского, 17",55.760043,49.238421,2012,9,338,946,6,6,6,0,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,8,7628,3146,100%,,3279,4000,19672,24000
KZN84,Республика Татарстан,Казань,Советский,Приволжский 1( Горки),А,06.2026,Комфорт,ЖК на Завойского 2,"улица Академика Завойского, 17А (с 1 по 5 под)",55.760504,49.236760,2012,9,399,1 117,5,5,9,0,9,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,4,5003,3998,100%,,3279,4000,16393,20000
KZN85,Республика Татарстан,Казань,Советский,Приволжский 1( Горки),А,06.2026,Комфорт,ЖК на Завойского 3,"улица Академика Завойского, 17А (с 6 по 9 под)",55.760504,49.236760,2012,9,399,1 117,4,4,9,0,9,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,4,4002,3998,100%,,3279,4000,13115,16000
KZN71,Республика Татарстан,Казань,Кировский ,Кировский_Московский_Авиастрой_Вахитовский,А,06.2026,Комфорт,ЖК Огни Казани,"улица Дружинная, 3",55.816874,49.083588,2009,16,96,269,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,17,4622,1731,100%,,3279,4000,6557,8000
KZN72,Республика Татарстан,Казань,Приволжский,Приволжский 1( Горки),А,06.2026,Комфорт,ЖК Изумрудный город,"улица Салиха Батыева, 9",55.752901,49.245734,2013,10,108,302,3,0,3,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,11,3250,3693,100%,,3279,4000,9836,12000
KZN73,Республика Татарстан,Казань,Авиастроительный,Кировский_Московский_Авиастрой_Вахитовский,А,05.2026,Комфорт,ЖК Яркий,"улица Тэцевская, 4Д",55.851000,49.062513,2020,8,717,2 008,17,0,17,17,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,303552,73,146710,463,100%,,3279,4000,55738,68000
KZN74,Республика Татарстан,Казань,Советский,Советский 2 (Азино-1),А,07.2026,Комфорт,ЖК  Победы 126а,"проспект Победы, 126А",55.778922,49.223024,2004,14,83,232,1,1,1,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,1873,2135,100%,,3279,4000,3279,4000
KZN75,Республика Татарстан,Казань,Зеленодольский ,Кировский_Московский_Авиастрой_Вахитовский,А,07.2026,Комфорт,ЖК Зимний сад - 1,"улица Спортивная, 7",55.837631,49.238969,2026,9,146,409,3,3,2,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,12,4942,2428,100%,,3279,4000,9836,12000
KZN76,Республика Татарстан,Казань,Зеленодольский ,Кировский_Московский_Авиастрой_Вахитовский,А,07.2026,Комфорт,ЖК Зимний сад - 2,"улица Спортивная, 9",55.872450,48.872214,2026,9,147,412,3,3,2,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,12,4976,2411,100%,,3279,4000,9836,12000
KZN76,Республика Татарстан,Казань,Зеленодольский ,Кировский_Московский_Авиастрой_Вахитовский,А,07.2026,Комфорт,ЖК Зимний сад - 2,"улица Спортивная, 10",55.872753,48.873562,2026,9,147,412,3,3,3,0,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,3317,3617,100%,,3279,4000,9836,12000
KZN77,Республика Татарстан,Казань,Зеленодольский ,Кировский_Московский_Авиастрой_Вахитовский,А,07.2026,Комфорт,ЖК Зимний сад - 3,"улица Спортивная, 8",55.872021,48.873418,2026,9,147,412,3,3,3,0,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,3317,3617,100%,,3279,4000,9836,12000
KZN78,Республика Татарстан,Казань,Зеленодольский ,Кировский_Московский_Авиастрой_Вахитовский,А,07.2026,Комфорт,ЖК Аура - 1,"улица Спортивная, 3",55.871607,48.875089,2025,5,70,196,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,1580,5064,100%,,3279,4000,6557,8000
KZN78,Республика Татарстан,Казань,Зеленодольский ,Кировский_Московский_Авиастрой_Вахитовский,А,07.2026,Комфорт,ЖК Аура - 1,"улица Спортивная, 4",55.872491,48.876302,2024,5,70,196,2,2,2,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,1580,5064,100%,,3279,4000,6557,8000
KZN79,Республика Татарстан,Казань,Советский,Советский 2 (Азино-1),А,07.2026,Комфорт,ЖК на Проспекте Победы 152/33,"проспект Победы, 152/33",55.781570,49.221012,2002,19,423,1 184,5,5,5,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,8,9546,2095,100%,,3279,4000,16393,20000
KZN80,Республика Татарстан,Казань,Советский,Советский 2 (Азино-1),А,07.2026,Комфорт,ЖК на Проспекте Победы 156,"проспект Победы, 156/26",55.783023,49.221389,2002,16,128,358,1,1,1,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,2889,1385,100%,,3279,4000,3279,4000
KZN81,Республика Татарстан,Казань,Советский,Советский 2 (Азино-1),А,07.2026,Комфорт,ЖК на Проспекте Победы 168,"проспект Победы, 168",55.786100,49.221219,2004,14,96,269,1,1,1,0,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,2167,1846,100%,,3279,4000,3279,4000
KZN82,Республика Татарстан,Казань,Советский,Советский 2 (Азино-1),А,07.2026,Комфорт,ЖК на Проспекте Победы - 2,"проспект Победы, 182",55.791638,49.221210,2003,14,132,370,1,1,1,0,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,2979,1343,100%,,3279,4000,3279,4000
KZN82,Республика Татарстан,Казань,Советский,Советский 2 (Азино-1),А,07.2026,Комфорт,ЖК на Проспекте Победы - 2,"проспект Победы, 184",55.791977,49.221228,2003,14,132,370,1,1,1,0,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,2979,1343,100%,,3279,4000,3279,4000
KZN82,Республика Татарстан,Казань,Советский,Советский 2 (Азино-1),А,07.2026,Комфорт,ЖК на Проспекте Победы - 2,"проспект Победы, 186",55.792306,49.221210,2003,14,132,370,1,1,1,0,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,2979,1343,100%,,3279,4000,3279,4000
MSC1,Московская область,Путилково,Красногорский,продажа городом,А,11.2025,Стандарт,ЖК Путилково 1,"улица Сходненская,11",55.876243,37.396120,2015,25,27,76,6,6,5,0,12,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,10,731,32823,100%,,3279,4000,19672,24000
MSC1,Московская область,Путилково,Красногорский,продажа городом,А,11.2025,Стандарт,ЖК Путилково 1,"улица Сходненская, 13",55.876688,37.393973,2015,25,960,2 688,6,6,3,0,15,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,16,43331,554,100%,,3279,4000,19672,24000
MSC2,Московская область,Путилково,Красногорский,продажа городом,А,12.2025,Стандарт,ЖК Путилково 2,"улица 70-летия Победы, 4",55.875789,37.393658,2016,25,293,820,3,3,6,0,9,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,4,3306,3630,100%,,3279,4000,9836,12000
MSC2,Московская область,Путилково,Красногорский,продажа городом,А,12.2025,Стандарт,ЖК Путилково 2,"Спасо-Тушинский Бульвар, 8",55.874541,37.394664,2015,25,563,1 576,6,6,3,0,18,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,16,25412,944,100%,,3279,4000,19672,24000
MSC2,Московская область,Путилково,Красногорский,продажа городом,А,12.2025,Стандарт,ЖК Путилково 2,"улица  70-летия Победы, 3",55.875157,37.392733,2016,15,144,403,3,3,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,12,4875,2462,100%,,3279,4000,9836,12000
MSC3,Московская область,Путилково,Красногорский,продажа городом,А,12.2025,Комфорт,ЖК Путилково 3,"улица Сходненская, 5 ",55.875859,37.400234,2015,25,192,538,2,2,6,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,3,1444,5539,100%,,3279,4000,6557,8000
MSC3,Московская область,Путилково,Красногорский,продажа городом,А,12.2025,Комфорт,ЖК Путилково 3,"Спасо-Тушинский Бульвар, 5",55.874026,37.396847,2015,25,544,1 523,6,6,5,0,18,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,10,14732,1629,100%,,3279,4000,19672,24000
MSC3,Московская область,Путилково,Красногорский,продажа городом,А,12.2025,Комфорт,ЖК Путилково 3,"улица Сходненская, 35",55.872031,37.396263,2018,22,542,1 518,5,5,3,0,15,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,13,20386,981,100%,,3279,4000,16393,20000
MSC4,Московская область,Путилково,Красногорский,продажа городом,А,02.2026,Комфорт,ЖК Путилково 4,"улица Сходненская, 23",55.874501,37.390092,2015,22,252,706,3,3,4,0,9,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,6,4265,2813,100%,,3279,4000,9836,12000
MSC4,Московская область,Путилково,Красногорский,продажа городом,А,02.2026,Комфорт,ЖК Путилково 4,"улица Сходненская, 21",55.875046,37.388646,2016,22,342,958,4,4,4,0,12,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,7718,2073,100%,,3279,4000,13115,16000
MSC4,Московская область,Путилково,Красногорский,продажа городом,А,02.2026,Комфорт,ЖК Путилково 4,"улица Сходненская, 19",55.876016,37.388143,2017,22,343,960,4,4,4,0,12,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,7741,2067,100%,,3279,4000,13115,16000
MSC5,Московская область,Одинцово,Одинцовский,продажа городом,А,11.2025,Стандарт,ЖК ​Одинцовский парк ,"улица Белорусская, 10",55.660673,37.299641,2013,20,1 253,3 508,11,11,11,0,22,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,196416,8,28278,1556,100%,,3279,4000,36066,44000
MSC6,Московская область,Одинцово,Одинцовский,продажа городом,А,02.2026,Комфорт,ЖК Рублевский квартал,"микрорайон Город-событие, 57 ",55.701912,37.208309,2025,9,172,482,5,5,3,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,13,6469,3091,100%,,3279,4000,16393,20000
MSC6,Московская область,Одинцово,Одинцовский,продажа городом,А,02.2026,Комфорт,ЖК Рублевский квартал,"микрорайон Город-событие, 60",55.702789,37.208812,2025,12,341,955,6,6,5,0,5,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,10,9235,2599,100%,,3279,4000,19672,24000
MSC7,Московская область,Одинцово,Одинцовский,продажа городом,А,04.2026,Комфорт,ЖК Рублевский квартал 2,"микрорайон Город-событие, 58",55.701526,37.206719,2025,8,327,916,5,5,4,0,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,10,9225,2168,100%,,3279,4000,16393,20000
MSC7,Московская область,Одинцово,Одинцовский,продажа городом,А,04.2026,Комфорт,ЖК Рублевский квартал 2,"микрорайон Город-событие, 59",55.702769,37.206674,2025,8,233,652,5,5,5,0,5,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,8,5258,3803,100%,,3279,4000,16393,20000
MSC8,Московская область,Одинцово,Одинцовский,продажа городом,Б,05.2026,Комфорт,ТСН Садовая,"улица Садовая, 28",55.677215,37.248275,2009,24,276,773,4,2,2,2,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,17,12873,1243,100%,,3279,4000,13115,16000
MSC8,Московская область,Одинцово,Одинцовский,продажа городом,Б,05.2026,Комфорт,ТСН Садовая,"улица Садовая, 28А",55.677839,37.248733,2009,24,276,773,4,2,2,6,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,85,66025,242,100%,,3279,4000,13115,16000
MSC9,Московская область,Одинцово,Одинцовский,продажа городом,Б,06.2026,Стандарт,ЖК Чистяковой,"улица Чистяковой, 67",55.700791,37.320428,2014,22,336,941,4,4,2,0,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,16,15166,1055,100%,,3279,4000,13115,16000
MSC10,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 1,"улица Чистяковой, 2",55.695793,37.330938,2005,23,826,2 313,12,12,12,0,26,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,214272,8,18641,2575,100%,,3279,4000,39344,48000
MSC11,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 2,"улица Чистяковой, 6",55.694799,37.329752,2004,24,368,1 030,2,2,2,0,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,8305,963,100%,,3279,4000,6557,8000
MSC11,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 2,"улица Чистяковой, 8",55.693952,37.327587,2005,24,368,1 030,2,2,2,0,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,8305,963,100%,,3279,4000,6557,8000
MSC11,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 2,"улица Чистяковой, 12",55.696235,37.328548,2004,16,250,700,4,4,2,0,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,16,11284,1418,100%,,3279,4000,13115,16000
MSC12,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 3,"улица Чистяковой, 14",55.694611,37.327057,2005,24,368,1 030,2,2,2,0,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,8305,963,100%,,3279,4000,6557,8000
MSC12,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 3,"улица Чистяковой, 16",55.695494,37.326348,2005,24,368,1 030,2,2,2,0,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,8305,963,100%,,3279,4000,6557,8000
MSC12,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 3,"улица Чистяковой, 22",55.696098,37.325099,2005,24,177,496,1,1,1,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,10,150,576,31,17856,8,3995,1001,100%,,3279,4000,3279,4000
MSC13,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 3,"улица Чистяковой, 24",55.697001,37.324066,2005,16,125,350,2,2,2,0,4,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,2821,2836,100%,,3279,4000,6557,8000
MSC42,Московская область,Одинцово,Одинцовский,продажа городом,Б,07.2026,Стандарт,ЖК Чистяковой 4,"улица Чистяковой, 18",55.696651,37.326114,2005,23,783,2 192,11,11,11,0,24,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,196416,8,17671,2490,100%,,3279,4000,36066,44000
MSC14,Московская область,Красногорск,Павшинская Пойма,продажа городом,Б,03.2026,Стандарт,ЖК Красногорск 1,"Красногорский бульвар, 17",55.819712,37.373913,2011,22,748,2 094,9,9,9,0,27,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,160704,8,16881,2133,100%,,3279,4000,29508,36000
MSC15,Московская область,Красногорск,Павшинская Пойма,продажа городом,Б,04.2026,Комфорт,ЖК Красногорск 2,"Подмосковный бульвар, 9",55.821967,37.369790,2012,22,304,851,9,4,3,5,9,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,160704,24,20328,1771,100%,,3279,4000,29508,36000
MSC16,Московская область,Красногорск,Павшинская Пойма,продажа городом,Б,07.2026,Комфорт,ЖК Красногорск 3,"Красногорский бульвар,13к2",55.815792,37.369467,2011,17,1 140,3 192,4,6,4,4,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,21,67749,236,100%,,3279,4000,13115,16000
MSC16,Московская область,Красногорск,Павшинская Пойма,продажа городом,Б,07.2026,Комфорт,ЖК Красногорск 3,"Красногорский бульвар, 23к1",55.826736,37.373329,2011,17,1 140,3 192,2,6,3,4,12,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,22,70894,113,100%,,3279,4000,6557,8000
MSC16,Московская область,Красногорск,Павшинская Пойма,продажа городом,Б,07.2026,Комфорт,ЖК Красногорск 3,"Подмосковный бульвар, 5",55.821077,37.367544,2011,17,1 140,3 192,4,6,2,4,4,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,42,135498,118,100%,,3279,4000,13115,16000
MSC17,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 1,"Пригородное шоссе, 6",55.557339,37.803598,2024,18,341,955,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,7696,2079,100%,,3279,4000,13115,16000
MSC17,Московская область,Мисайлово,Ленинский ,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 1,"Пригородное шоссе, 8",55.556924,37.804329,2023,17,341,955,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,7696,1559,100%,,3279,4000,9836,12000
MSC17,Московская область,Мисайлово,Ленинский ,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 1,"Пригородное шоссе, 12",55.556815,37.805385,2024,18,305,854,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,6883,2324,100%,,3279,4000,13115,16000
MSC18,Московская область,Мисайлово,Ленинский ,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 2,"Пригородное шоссе, 18",55.555772,37.808255,2024,18,305,854,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,6883,2324,100%,,3279,4000,13115,16000
MSC18,Московская область,Мисайлово,Ленинский ,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 2,"Пригородное шоссе, 20",55.555548,37.809032,2022,18,466,1 305,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,10517,1521,100%,,3279,4000,13115,16000
MSC18,Московская область,Мисайлово,Ленинский ,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 2,"Пригородное шоссе, 22",55.555239,37.809964,2024,18,418,1 170,3,3,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,6,7075,1696,100%,,3279,4000,9836,12000
MSC19,Московская область,Мисайлово,Ленинский ,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 3,"Пригородное шоссе, 14",55.556189,37.806075,2023,18,140,392,2,2,4,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,4,1580,5064,100%,,3279,4000,6557,8000
MSC19,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 3,"Пригородное шоссе, 16",55.556554,37.807727,2017,18,352,986,2,2,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,4,3972,2014,100%,,3279,4000,6557,8000
MSC19,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 3,"улица Имени Л.И Гоман, 2",55.555499,37.805427,2023,18,144,403,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,3250,1231,100%,,3279,4000,3279,4000
MSC19,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 3,"улица Имени Л.И Гоман, 4",55.554837,37.804822,2023,18,176,493,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,3972,1007,100%,,3279,4000,3279,4000
MSC19,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 3,"улица Имени Л.И Гоман, 10",55.554609,37.803186,2023,18,176,493,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,3972,1007,100%,,3279,4000,3279,4000
MSC20,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 4,"улица Имени Л.И Гоман, 8",55.553887,37.804061,2024,18,352,986,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,7944,1007,100%,,3279,4000,6557,8000
MSC20,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 4,"улица Имени Л.И Гоман, 3 ",55.5541,37.805541,2024,18,352,986,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,7944,1007,100%,,3279,4000,6557,8000
MSC20,Московская область,Мисайлово,Ленинский,продажа городом,Б,03.2026,Комфорт,ЖК Пригород Лесное 4,"улица Имени Л.И Гоман, 5",55.553331,37.806025,2024,18,466,1 305,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,10517,1521,100%,,3279,4000,13115,16000
MSC21,Московская область,Мисайлово,Ленинский,продажа городом,Б,04.2026,Комфорт,ЖК Пригород Лесное 5,"улица С.П. Корнусова, 3",55.554956,37.802005,2023,17,176,493,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,3972,1007,100%,,3279,4000,3279,4000
MSC21,Московская область,Мисайлово,Ленинский,продажа городом,Б,04.2026,Комфорт,ЖК Пригород Лесное 5,"Пригородное шоссе, 2",55.557876,37.801769,2023,17,576,1 613,4,4,5,0,10,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,6,10399,1539,100%,,3279,4000,13115,16000
MSC21,Московская область,Мисайлово,Ленинский,продажа городом,Б,04.2026,Комфорт,ЖК Пригород Лесное 5,"Пригородное шоссе, 4",55.557461,37.802499,2023,17,341,955,3,3,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,6,5772,2079,100%,,3279,4000,9836,12000
MSC22,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 6,"улица Луговая, 4",55.55363,37.819817,2024,17,621,1 739,8,8,8,0,16,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,8,14015,2283,100%,,3279,4000,26230,32000
MSC22,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 6,"улица Луговая, 2",55.554747,37.819848,2024,17,304,851,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,6861,1749,100%,,3279,4000,9836,12000
MSC23,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 7,"улица Филипова, 10",55.553632,37.807472,2024,17,521,1 459,4,4,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,8,11758,1361,100%,,3279,4000,13115,16000
MSC23,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 7,"улица Филипова, 8",55.552819,37.80777,2024,17,352,986,3,3,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,12,11916,1007,100%,,3279,4000,9836,12000
MSC23,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 7,"улица Филипова, 6",55.552419,37.808371,2024,17,352,986,1,1,4,0,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,2,1986,2014,100%,,3279,4000,3279,4000
MSC23,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 7,"улица Филипова, 4",55.553089,37.808984,2024,17,176,493,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,3972,1007,100%,,3279,4000,3279,4000
MSC23,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 7,"Пригородное шоссе, 24",55.554842,37.810663,2024,17,352,986,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,7944,1007,100%,,3279,4000,6557,8000
MSC24,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 8,"улица Современников, 5",55.553816,37.816999,2024,17,658,1 842,5,5,5,0,10,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,8,14850,1347,100%,,3279,4000,16393,20000
MSC24,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 8,"Пригородное шоссе, 28",55.555276,37.818166,2024,17,407,1 140,3,3,3,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,8,9185,1306,100%,,3279,4000,9836,12000
MSC25,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 9,"улица Современников, 3",55.553595,37.815212,2024,17,304,851,6,6,3,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,16,13721,1749,100%,,3279,4000,19672,24000
MSC25,Московская область,Мисайлово,Ленинский,продажа городом,Б,06.2026,Комфорт,ЖК Пригород Лесное 9,"улица Современников, 7",55.554458,37.818194,2024,17,256,717,3,3,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,24,17332,692,100%,,3279,4000,9836,12000
MSC26,Московская область,Внуково,Новая Москва,продажа городом,А,05.2026,Комфорт,ЖК Новое Внуково 1,"улица Аэростатная, 6к1",55.588558,37.171838,2023,15,259,725,1,1,3,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,3,1948,2053,100%,,3279,4000,3279,4000
MSC26,Московская область,Внуково,Новая Москва,продажа городом,А,05.2026,Комфорт,ЖК Новое Внуково 1,"улица Аэростатная, 6к2",55.589514,37.171907,2023,15,233,652,2,2,3,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,5,3506,2282,100%,,3279,4000,6557,8000
